"fightHref";"eventName";"eventDate";"eventLocation";"winnerHref";"winnerFirstName";"winnerLastName";"loserHref";"loserFirstName";"loserLastName";"result";"weightClass";"method";"methodDetails";"round";"time";"fightDuration";"belt";"fightOfTheNight";"performanceOfTheNight";"koOfTheNight";"submissionOfTheNight"
"1a191251620a84ca";"UFC Fight Night: Gane vs. Tuivasa";"2022-09-03 00:00:00";"Paris, Ile-de-France, France";"9d83f6da776ff7d6";"Roman";"Kopylov";"77d7295d1b22c694";"Alessio";"Di Chirico";"win";"Middleweight";"KO/TKO";"Punches";"3";"69";"669";"0";"0";"0";"0";"0"
"20f316f96c9e4458";"UFC Fight Night: Gane vs. Tuivasa";"2022-09-03 00:00:00";"Paris, Ile-de-France, France";"881bf86d4cba8578";"Nassourdine";"Imavov";"b9437600497350f3";"Joaquin";"Buckley";"win";"Middleweight";"unanimousDecision";NULL;"3";"300";"900";"0";"0";"0";"0";"0"
"398db40015b3c81c";"UFC Fight Night: Gane vs. Tuivasa";"2022-09-03 00:00:00";"Paris, Ile-de-France, France";"e1d40e8782d80bc2";"William";"Gomis";"082eba4cd80f736f";"Jarno";"Errens";"win";"Featherweight";"unanimousDecision";NULL;"3";"300";"900";"0";"0";"0";"0";"0"
"3e2f00991f511607";"UFC Fight Night: Gane vs. Tuivasa";"2022-09-03 00:00:00";"Paris, Ile-de-France, France";"c2299ec916bc7c56";"Benoit";"Saint Denis";"b909a9a9688b5284";"Gabriel";"Miranda";"win";"Lightweight";"KO/TKO";"Punch";"2";"16";"316";"0";"0";"1";"0";"0"
"7bced112f3229b1b";"UFC Fight Night: Gane vs. Tuivasa";"2022-09-03 00:00:00";"Paris, Ile-de-France, France";"b7b84ccd221be298";"Nasrat";"Haqparast";"c21a036b4e012f1c";"John";"Makdessi";"win";"Lightweight";"unanimousDecision";NULL;"3";"300";"900";"0";"0";"0";"0";"0"
"810c9da07970c4a6";"UFC Fight Night: Gane vs. Tuivasa";"2022-09-03 00:00:00";"Paris, Ile-de-France, France";"787bb1f087ccff8a";"Ciryl";"Gane";"c62fbc117d57b943";"Tai";"Tuivasa";"win";"Heavyweight";"KO/TKO";"Punches";"3";"263";"863";"0";"1";"0";"0";"0"
"acc9a109b00a99e1";"UFC Fight Night: Gane vs. Tuivasa";"2022-09-03 00:00:00";"Paris, Ile-de-France, France";"329e403448756217";"Nathaniel";"Wood";"f1d64ae34e088832";"Charles";"Jourdain";"win";"Featherweight";"unanimousDecision";NULL;"3";"300";"900";"0";"0";"0";"0";"0"
"b8ca1acdf3dc2f58";"UFC Fight Night: Gane vs. Tuivasa";"2022-09-03 00:00:00";"Paris, Ile-de-France, France";"e1147d3d2dabe1ce";"Robert";"Whittaker";"7acbb0972e75281a";"Marvin";"Vettori";"win";"Middleweight";"unanimousDecision";NULL;"3";"300";"900";"0";"0";"0";"0";"0"
"ca7fd237c16cec84";"UFC Fight Night: Gane vs. Tuivasa";"2022-09-03 00:00:00";"Paris, Ile-de-France, France";"7debc13b36343605";"Cristian";"Quinonez";"b4537562f88ac582";"Khalid";"Taha";"win";"Bantamweight";"KO/TKO";"Punches";"1";"195";"195";"0";"0";"0";"0";"0"
"ce62a50e97d497f9";"UFC Fight Night: Gane vs. Tuivasa";"2022-09-03 00:00:00";"Paris, Ile-de-France, France";"5e6294b37bbef029";"Stephanie";"Egger";"06e4245d16fc5315";"Ailin";"Perez";"win";"Women's Featherweight";"submission";"Rear Naked Choke";"2";"294";"594";"0";"0";"0";"0";"0"
"cf9035f2fc2e232f";"UFC Fight Night: Gane vs. Tuivasa";"2022-09-03 00:00:00";"Paris, Ile-de-France, France";"36b8f265bcd1b7a4";"Abus";"Magomedov";"71505842fb6455c3";"Dustin";"Stoltzfus";"win";"Middleweight";"KO/TKO";"Punches";"1";"19";"19";"0";"0";"1";"0";"0"
"fd47032108b85cf0";"UFC Fight Night: Gane vs. Tuivasa";"2022-09-03 00:00:00";"Paris, Ile-de-France, France";"1e4f273069fb9e85";"Fares";"Ziam";"b4c57a8c2b773e82";"Michal";"Figlak";"win";"Lightweight";"unanimousDecision";NULL;"3";"300";"900";"0";"0";"0";"0";"0"
"0f2983fe7753403f";"UFC Fight Night: Nzechukwu vs. Cutelaba";"2022-11-19 00:00:00";"Las Vegas, Nevada, USA";"cd3d7e37ff2d679c";"Ricky";"Turcios";"0c258d1d8e16e5f1";"Kevin";"Natividad";"win";"Bantamweight";"splitDecision";NULL;"3";"300";"900";"0";"0";"0";"0";"0"
"110f539523a4b571";"UFC Fight Night: Nzechukwu vs. Cutelaba";"2022-11-19 00:00:00";"Las Vegas, Nevada, USA";"fc08099550072fe4";"Waldo";"Cortes-Acosta";"01b352b6a9074d5c";"Chase";"Sherman";"win";"Heavyweight";"unanimousDecision";NULL;"3";"300";"900";"0";"0";"0";"0";"0"
"144443d4dbf43990";"UFC Fight Night: Nzechukwu vs. Cutelaba";"2022-11-19 00:00:00";"Las Vegas, Nevada, USA";"8e1f36476ef02a6a";"Jennifer";"Maia";"b4192a975027aab6";"Maryna";"Moroz";"win";"Women's Flyweight";"unanimousDecision";NULL;"3";"300";"900";"0";"0";"0";"0";"0"
"33719a2d9c69ed17";"UFC Fight Night: Nzechukwu vs. Cutelaba";"2022-11-19 00:00:00";"Las Vegas, Nevada, USA";"262d32ebda89efc4";"Natalia";"Silva";"59c438c81fbf3ece";"Tereza";"Bleda";"win";"Women's Flyweight";"KO/TKO";"Spinning Back Kick";"3";"87";"687";"0";"0";"1";"0";"0"
