href;firstName;lastName;rank_score_Flyweight;rank_Flyweight
792be9a24df82ed6;Brandon;Moreno;152.66;1
a0f0004aadf10b71;Alexandre;Pantoja;117.17;2
aa72b0f831d0bfe5;Deiveson;Figueiredo;70.17;3
75353550928a7921;Muhammad;Mokaev;35.33;4
6e15f63b6c2e2c15;Brandon;Royval;33.4;5
6d35bf94f7d30241;Amir;Albazi;32.75;6
853eb0dd5c0e2149;Kai;Kara-France;29.77;7
7f6ed67d3ed3c036;Cody;Durden;26.52;8
1a31ef98efce7a79;Matheus;Nicolau;22.32;9
294aa73dbf37d281;Bruno;Silva;22.24;10
5d1b7e3dd9e11074;Manel;Kape;17.24;11
8d3273573b85be09;Assu;Almabayev;16.13;12
b1d19449397541dc;Askar;Askarov;15.77;13
4461d7e47375a895;Tatsuro;Taira;15.54;14
32ab52e5de93092d;Steve;Erceg;15.17;15
60a42bf82447c919;Jake;Hadley;14.65;16
c96d9178c9ed9e62;Tim;Elliott;14.23;17
f00ac08ab056af5d;Tagir;Ulanbekov;13.03;18
6e00cfffd54653c4;Tyson;Nam;11.72;19
67c1d46f4ed16f9e;Matt;Schnell;9.69;20
7f1bf0c255ec8756;Azat;Maksum;9.45;21
253076a23d03dcd0;Allan;Nascimento;9.22;22
3fa97913cfd205d3;Alessandro;Costa;9.1;23
814e5233e2acf2ee;Charles;Johnson;8.77;24
dc7927cd622676a7;Victor;Altamirano;8.7;25
077e3ace32b72be9;CJ;Vergara;8.45;26
6d68c1afe954f121;Ode;Osbourne;8.1;27
6e9f40c706f91f32;Nate;Maness;7.5;28
83455a9d17f57dae;Rafael;Estevam;7.41;29
008ea710276c9606;Jeff;Molina;6.23;30
cdadae5363b66eef;Francisco;Figueiredo;6.16;31
17e97649403ba428;Joshua;Van;5.46;32
dee294e9717012c2;Malcolm;Gordon;5.23;33
ab2b4ff41d6ebe0f;Alex;Perez;5.18;34
c051c2e12d692b8a;Jesus;Aguilar;5.0;35
65adf3856c4d9256;Jafel;Filho;5.0;36
b62d5280966b2460;Clayton;Carpenter;4.62;37
102a8fdf8cbf7467;Kleydson;Rodrigues;4.59;38
b671bdf981ad527d;HyunSung;Park;4.56;39
9ada30894bf04e19;David;Dvorak;4.15;40
798e48f9e7f6ba22;Carlos;Hernandez;3.64;41
55fa6ce3e522c8bb;Zhalgas;Zhumagulov;2.31;42
09e62c450e754913;Jimmy;Flick;2.26;43
79cb2a690b9ba5e8;Zarrukh;Adashev;1.53;44
82b4e942781b1046;Raulian;Paiva;0.95;45
a4de54ea806fb525;Ray;Borg;0.39;46
de75d1c45a39e221;Sergio;Pettis;0.0;47
f57dd0bfa8c17813;Mark;De La Rosa;0.0;48
9fa568ad2bf2cb0b;Justin;Scoggins;0.0;49
a0c64f272b65d441;Eric;Shelton;0.0;50
f53c1f4ceeed8c08;Dustin;Ortiz;0.0;51
ec664422b22d9787;Jenel;Lausa;0.0;52
e18a19001a3f7c7d;Alptekin;Ozkilic;0.0;53
b2e3aca4cd363477;Chris;Cariaso;0.0;54
d2bc285ead803db0;Louis;Smolka;0.0;55
99506df1af6c8b3b;John;Dodson;0.0;56
c945adc22c2bfe8f;Brad;Pickett;0.0;57
b102c26727306ab6;Jussier;Formiga;0.0;58
c268b2cfebccf652;John;Lineker;0.0;59
c169545ab0825f44;Geane;Herrera;0.0;60
b12fc8a41e82d3a2;Joby;Sanchez;0.0;61
ba043b03eb799063;Phil;Harris;0.0;62
b72a60a0cadff408;Louis;Gaudinot;0.0;63
d2036f31c035e0d1;Jose;Torres;0.0;64
7c3c48cf54a2848e;Yuta;Sasaki;0.0;65
98aa60cf58071fd6;Kyoji;Horiguchi;0.0;66
546f8599a63c29da;Robert;Sanchez;0.0;67
07a2bdaa0afdd831;Rogerio;Bontorin;0.0;68
0b64d0fed453ef7f;Scott;Jorgensen;0.0;69
0ccab7c889ede9ea;Fredy;Serrano;0.0;70
0d0351c20169a499;Jon;Delos Reyes;0.0;71
0fd5f4b838e890cc;Said;Nurmagomedov;0.0;72
199eb7cf6ae90294;Naoki;Inoue;0.0;73
20999e27ddd94bda;Ryan;Benoit;0.0;74
215a70f073a7b726;Jordan;Espinosa;0.0;75
2fe9032955c2e013;Joseph;Morales;0.0;76
32be4b7f7de1c905;Chico;Camus;0.0;77
3dd92ff9fb0412b3;Ali;Bagautinov;0.0;78
449c890bd90f3374;Hector;Sandoval;0.0;79
49a74b9fb2e45fdf;Neil;Seery;0.0;80
54578e5927adea53;Richie;Vaculik;0.0;81
56c9acc4e86046a2;Chris;Kelades;0.0;82
92437c6775b3f7d1;John;Moraga;0.0;83
57ab4d7c0bc09a30;Zach;Makovsky;0.0;84
5aedf14771ca82d2;Wilson;Reis;0.0;85
5ea918ea81b7dee2;Yao;Zhikui;0.0;86
6546af7ab545b90c;Darren;Uyenoyama;0.0;87
6ded9184b2284645;Willie;Gates;0.0;88
6e7c758f5cdec01a;Paddy;Holohan;0.0;89
701e057d63c124d9;Ian;McCall;0.0;90
056c493bbd76a918;Henry;Cejudo;0.0;91
80eacd4da0617c57;Joseph;Benavidez;0.0;92
81d9df19e255b8b6;Jarred;Brooks;0.0;93
840d2c82ea68b9aa;Ben;Nguyen;0.0;94
87f19d19f4cb73f8;Bibulatov;Magomed;0.0;95
8a304bfd6bf04a57;Demetrious;Johnson;0.0;96
8a9c6c4301f6d088;Danny;Martinez;0.0;97
f65dcb22dada2223;Josh;Sampo;0.0;98
