href;firstName;lastName;rank_score_Lightweight;rank_Lightweight
275aca31f61ba28c;Islam;Makhachev;369.02;1
07225ba28ae309b6;Charles;Oliveira;219.61;2
9e8f6c728eb01124;Justin;Gaethje;125.62;3
72db2a14ffa73ece;Mateusz;Gamrot;115.1;4
c2299ec916bc7c56;Benoit;Saint Denis;78.37;5
029eaff01e6bb8f0;Dustin;Poirier;73.92;6
08af939f41b5a57b;Beneil;Dariush;72.66;7
c814b4c899793af6;Rafael;Fiziev;58.38;8
887961364be5ceb3;Bobby;Green;56.01;9
519e4fe37ce9ff75;Drew;Dober;52.51;10
dccb63727f2f5f74;Matt;Frevola;49.52;11
193b9d1858bc4df3;Dan;Hooker;48.76;12
eae48ff31db420c2;Arman;Tsarukyan;43.9;13
4b93a88f3b1de35b;Michael;Chandler;39.23;14
032cc3922d871c7f;Khabib;Nurmagomedov;37.51;15
99bd51917728c25d;Grant;Dawson;35.32;16
4d8fa64202cee4c1;Jalin;Turner;35.09;17
7826923b47f8d72a;Paddy;Pimblett;34.32;18
b6452706b373eea1;Renato;Moicano;30.6;19
d945aae53e3e54e6;Thiago;Moises;30.42;20
58bbef3770bb2dfc;Joel;Alvarez;30.34;21
7026eca45f65377b;Jared;Gordon;24.88;22
e132d47bd9efbbe0;Rafa;Garcia;24.01;23
262a7d06203657e6;Alexander;Hernandez;23.53;24
809bd1a871491508;Terrance;McKinney;23.47;25
af9f42e6894047fc;Jamie;Mullarkey;23.4;26
4148802ae4a50768;Daniel;Zellhuber;20.28;27
8d11d9c13e2ccdf7;Muhammad;Naimov;20.19;28
5b86d491d63890c5;Ludovit;Klein;20.16;29
d747eb273a40a920;Claudio;Puelles;18.97;30
af65aa688d13eedf;Joe;Solecki;18.29;31
ff62013d2fce6d13;Nazim;Sadykhov;17.54;32
f53d4f21d1b5f2dc;Diego;Ferreira;16.54;33
19c591115a58982c;Viacheslav;Borshchev;16.32;34
2e7878927067fdca;Manuel;Torres;15.73;35
eb393afdbe3293d5;Ismael;Bonfim;15.29;36
1e4f273069fb9e85;Fares;Ziam;14.89;37
37ed1ab2f8b819f4;Brad;Riddell;14.78;38
d1941565abf50b16;Jim;Miller;14.72;39
971246648e162f0d;Chase;Hooper;14.71;40
849c5d9979df5357;Mateusz;Rebecki;14.61;41
84ff027394f7e470;Gregor;Gillespie;14.6;42
c47df9303d318c67;Clay;Guida;14.48;43
da0995f19b749cfa;Mark;Madsen;14.17;44
ac026518a9b4dc0f;Jordan;Leavitt;13.33;45
de45aaae23dfa392;Christos;Giagos;12.53;46
511e82663651438d;Michael;Johnson;12.44;47
681399317dbf4701;Uros;Medic;11.83;48
e4a47b07044ddd72;Ignacio;Bahamondes;11.56;49
48a9a128784d53d1;Elves;Brener;11.54;50
3920d0cc288f9b0d;Francisco;Prado;11.01;51
fd406a32a6fb3a29;Chris;Duncan;10.91;52
4c88a1db5a46c6a4;Jai;Herbert;10.84;53
7cbf7c78d3b34218;Drakkar;Klose;10.39;54
32c355b04fc57f3a;Marc;Diakiese;10.11;55
0bc697c5936a2d0a;Trevor;Peek;9.96;56
6a2f7c151031653d;Rafael;Dos Anjos;9.7;57
54f64b5e283b0ce7;Ilia;Topuria;9.51;58
d80ee110748171ac;Mike;Breeden;8.52;59
c77a953488e5607d;Vinc;Pichel;8.51;60
d31cbcdd7d69536d;TJ;Brown;7.81;61
b7b84ccd221be298;Nasrat;Haqparast;7.72;62
436f970c9ea9169c;Gabriel;Benitez;7.67;63
b39f7a6c2be17ee8;Charlie;Campbell;7.5;64
a72a2a769fa5a2be;Anshul;Jubli;6.84;65
