href;firstName;lastName;rank_score;rank_score
275aca31f61ba28c;Islam;Makhachev;387.33;1
e5549c82bfb5582d;Alex;Pereira;310.59;2
1338e2c7480bdf9e;Israel;Adesanya;265.46;3
0d8011111be000b2;Sean;Strickland;248.94;4
07225ba28ae309b6;Charles;Oliveira;219.61;5
399afbabc02376b5;Tom;Aspinall;218.44;6
f1fac969a1d70b08;Leon;Edwards;212.34;7
787bb1f087ccff8a;Ciryl;Gane;207.35;8
f14cf73e51b29254;Sergei;Pavlovich;191.26;9
b1b0729d27936f2f;Belal;Muhammad;190.71;10
767755fd74662dbf;Khamzat;Chimaev;163.7;11
792be9a24df82ed6;Brandon;Moreno;152.66;12
e1248941344b3288;Alexander;Volkanovski;141.38;13
13a0275fa13c4d26;Jared;Cannonier;141.27;14
279566840aa55bf2;Alexander;Volkov;140.48;15
8d03ce87ca14e778;Francis;Ngannou;134.56;16
b50a426a33da0012;Sean;O'Malley;133.95;17
2f181c0467965b98;Brendan;Allen;131.59;18
07f72a2a7591b409;Jon;Jones;128.69;19
5444c5a201d3ee5a;Jamahal;Hill;126.9;20
9e8f6c728eb01124;Justin;Gaethje;125.62;21
0d7b51c9d2649a6e;Dricus;Du Plessis;124.29;22
65f09bacd3957381;Cory;Sandhagen;119.4;23
a0f0004aadf10b71;Alexandre;Pantoja;117.17;24
72db2a14ffa73ece;Mateusz;Gamrot;115.1;25
41e83a89929d1327;Jailton;Almeida;113.04;26
1ebe20ebbfa15e29;Zhang;Weili;112.44;27
6b453bc35a823c3f;Jack;Della Maddalena;105.88;28
442c9011034ae1fd;Ian;Garry;105.08;29
01afe0916a40c7c5;Shavkat;Rakhmonov;104.91;30
e8b731feff72294b;Alexa;Grasso;102.65;31
009341ed974bad72;Jiri;Prochazka;99.95;32
fa6796c55d6c5440;Curtis;Blaydes;99.9;33
cb696ebfb6598724;Aljamain;Sterling;99.41;34
f1b2aa7853d1ed6e;Kamaru;Usman;96.64;35
23024fdfc966410a;Gilbert;Burns;94.5;36
3a46b268013afede;Kevin;Holland;94.33;37
c03520b5c88ed6b4;Merab;Dvalishvili;93.0;38
669970f7feba8ecd;Erin;Blanchfield;90.96;39
7ff97850e8c32bda;Glover;Teixeira;90.35;40
d3df1add9d9a7efb;Derrick;Lewis;85.44;41
7acbb0972e75281a;Marvin;Vettori;84.68;42
84b3e7d38f2d2ec5;Neil;Magny;84.64;43
150ff4cc642270b9;Max;Holloway;83.82;44
34ff304266360297;Manon;Fiorot;81.31;45
99df7d0a2a08a8a8;Jan;Blachowicz;81.06;46
e2f6b2769aaedd6c;Serghei;Spivac;79.22;47
7c7332319c14094c;Marlon;Vera;79.07;48
c62fbc117d57b943;Tai;Tuivasa;78.64;49
c2299ec916bc7c56;Benoit;Saint Denis;78.37;50
e1147d3d2dabe1ce;Robert;Whittaker;77.78;51
54f64b5e283b0ce7;Ilia;Topuria;77.5;52
f2477cf43c4975cc;Jonathan;Martinez;77.06;53
029eaff01e6bb8f0;Dustin;Poirier;73.92;54
08af939f41b5a57b;Beneil;Dariush;72.66;55
6d4b63c767106d3a;Vicente;Luque;72.28;56
aa72b0f831d0bfe5;Deiveson;Figueiredo;70.17;57
b9437600497350f3;Joaquin;Buckley;70.1;58
6a1901c62ab3870f;Jessica;Andrade;69.09;59
040a74bb0a465c54;Arnold;Allen;68.97;60
d802174b0c0c1f4e;Magomed;Ankalaev;68.31;61
80fa8218c99f9c58;Amanda;Nunes;67.98;62
c21f26bbde777573;Johnny;Walker;67.89;63
e4277e87a789d687;Dustin;Jacoby;67.78;64
132deb59abae64b1;Valentina;Shevchenko;65.69;65
cbf5e6f231b55443;Yair;Rodriguez;65.65;66
327d5f279895110d;Roman;Dolidze;63.27;67
b997be68943010fc;Geoff;Neal;61.87;68
82a5152216251682;Dan;Ige;59.53;69
c814b4c899793af6;Rafael;Fiziev;58.38;70
efb96bf3e9ada36f;Song;Yadong;58.34;71
c41d426cc7326d1b;Yan;Xiaonan;57.6;72
d910665038efc639;Carla;Esparza;57.58;73
595db60957de51d3;Michel;Pereira;57.09;74
8e5d953bdb9ae5e7;Loopy;Godinez;56.36;75
eabf206b162b3b83;Paul;Craig;56.15;76
9560ff14eb3129f7;Giga;Chikadze;56.03;77
887961364be5ceb3;Bobby;Green;56.01;78
47b63240018d5d86;Rose;Namajunas;54.62;79
749f572d1d3161fb;Khalil;Rountree Jr.;54.15;80
d9c6f19f958643e9;Bryce;Mitchell;53.43;81
3df5493bb279226f;Amanda;Lemos;53.25;82
cdb96af67d096b1e;Alex;Morono;52.71;83
6a740daf1b279661;Maycee;Barber;52.63;84
519e4fe37ce9ff75;Drew;Dober;52.51;85
1091d4d957141094;Nikita;Krylov;52.5;86
9d19d9e4aa2662e8;Nicolas;Dalby;51.59;87
5442f1bc4b47eaf3;Chris;Curtis;51.0;88
4a28cb716c19157a;Stephen;Thompson;50.96;89
fba03cd6cc28dc41;Josh;Emmett;50.85;90
dccb63727f2f5f74;Matt;Frevola;49.52;91
c6aee362c7a7d482;Randy;Brown;48.86;92
193b9d1858bc4df3;Dan;Hooker;48.76;93
c9cf753cfdf77fc2;Marcin;Tybura;48.75;94
c32aeb1a59e6272d;Michael;Morales;48.5;95
d4c9dcd330403612;Anthony;Smith;48.13;96
e90a2f22417af68e;Azamat;Murzakanov;47.47;97
7aa3d6964eff4877;Alex;Caceres;47.29;98
c1085e1701b13eca;Joe;Pyfer;46.85;99
8667caa0451d245b;Kennedy;Nzechukwu;45.59;100
aa171d55d4b5208f;Billy;Quarantillo;45.34;101
9014c02eff8b3d62;Carlos;Ulberg;44.92;102
cd2c4d30c6e13b47;Marina;Rodriguez;44.9;103
8a1f3b5c526cd6e6;Daniel;Rodriguez;44.88;104
9d83f6da776ff7d6;Roman;Kopylov;44.69;105
64a50dad704d1d49;Edson;Barboza;44.67;106
36541f1e6c5d4955;Viviane;Araujo;44.52;107
4126a78111c0855a;Caio;Borralho;44.46;108
eae48ff31db420c2;Arman;Tsarukyan;43.9;109
ab943cd2c3c17825;Marcos;Rogerio de Lima;43.83;110
a53d30163304aa6e;Carlston;Harris;43.82;111
05339613bf8e9808;Rob;Font;43.43;112
8c0580d4fff106c1;Kelvin;Gastelum;42.9;113
b08012bbe542592a;Tatiana;Suarez;42.8;114
d1c65d2cf2925ddd;Gregory;Rodrigues;42.8;115
791c8437b341fba5;Joanderson;Brito;42.24;116
2cd428e9606856fd;Jairzinho;Rozenstruik;42.08;117
5f61780fe5e9b6d0;Andre;Petroski;41.77;118
881bf86d4cba8578;Nassourdine;Imavov;41.75;119
3253b16d38ae087d;Julianna;Pena;41.46;120
9abc648e76c4493a;Bill;Algeo;40.7;121
bc711b6dd95c1af6;Mario;Bautista;40.68;122
7dda2cf308f24a02;Virna;Jandiroba;40.5;123
0d65c432720accb9;Michal;Oleksiejczuk;40.46;124
d0f3959b4a9747e6;Jose;Aldo;40.42;125
d25240135aee03e5;Tabatha;Ricci;40.1;126
beecb672a279223e;Amanda;Ribas;39.47;127
285ae0b4a68221f4;JunYong;Park;39.39;128
4b93a88f3b1de35b;Michael;Chandler;39.23;129
d66a46de8d705353;Jeremiah;Wells;39.2;130
6d1bffff14897645;Santiago;Ponzinibbio;38.99;131
0fd5f4b838e890cc;Said;Nurmagomedov;38.86;132
d661ce4da776fc20;Petr;Yan;38.14;133
8d11d9c13e2ccdf7;Muhammad;Naimov;37.6;134
032cc3922d871c7f;Khabib;Nurmagomedov;37.51;135
45f7cb591c3ab00b;Sean;Brady;36.72;136
99bd51917728c25d;Grant;Dawson;36.55;137
7447e9f28508106a;Mackenzie;Dern;36.44;138
4d8fa64202cee4c1;Jalin;Turner;36.32;139
8e1f36476ef02a6a;Jennifer;Maia;36.3;140
6a2f7c151031653d;Rafael;Dos Anjos;35.75;141
d31a5546c0e9b213;Rodrigo;Nascimento;35.7;142
