href;firstName;lastName;rank_score_Welterweight;rank_Welterweight
f1fac969a1d70b08;Leon;Edwards;212.34;1
b1b0729d27936f2f;Belal;Muhammad;190.71;2
6b453bc35a823c3f;Jack;Della Maddalena;105.88;3
442c9011034ae1fd;Ian;Garry;105.08;4
01afe0916a40c7c5;Shavkat;Rakhmonov;104.91;5
f1b2aa7853d1ed6e;Kamaru;Usman;96.64;6
23024fdfc966410a;Gilbert;Burns;94.5;7
84b3e7d38f2d2ec5;Neil;Magny;84.64;8
3a46b268013afede;Kevin;Holland;79.52;9
6d4b63c767106d3a;Vicente;Luque;72.28;10
767755fd74662dbf;Khamzat;Chimaev;63.28;11
b997be68943010fc;Geoff;Neal;61.87;12
cdb96af67d096b1e;Alex;Morono;52.71;13
9d19d9e4aa2662e8;Nicolas;Dalby;51.59;14
4a28cb716c19157a;Stephen;Thompson;50.96;15
c6aee362c7a7d482;Randy;Brown;48.86;16
c32aeb1a59e6272d;Michael;Morales;48.5;17
b9437600497350f3;Joaquin;Buckley;46.85;18
a53d30163304aa6e;Carlston;Harris;43.82;19
d66a46de8d705353;Jeremiah;Wells;39.2;20
45f7cb591c3ab00b;Sean;Brady;36.72;21
4b47e71384a9522f;Tim;Means;33.25;22
b0d6a1d8ac3d563d;Max;Griffin;28.53;23
595db60957de51d3;Michel;Pereira;28.19;24
447f9858ae78f921;Muslim;Salikhov;28.15;25
dc9572dd6ec74859;Colby;Covington;27.51;26
e64b96c07d7ce999;Li;Jingliang;25.75;27
8a1f3b5c526cd6e6;Daniel;Rodriguez;24.35;28
4aa58269d0664b5b;Matthew;Semelsberger;24.24;29
a845f0735bc67405;Jake;Matthews;23.36;30
2558ae2e5671e318;Khaos;Williams;23.2;31
f626118b6da0e020;Bryan;Battle;23.2;32
dd6103dd7127db1d;Mike;Malott;22.96;33
fd55393021a8c255;Gunnar;Nelson;20.81;34
bf2c8e01b07d3eb1;Myktybek;Orolbai;20.43;35
8e382b585a92affe;Phil;Rowe;20.19;36
01641ba5df0c69b0;Gabriel;Bonfim;20.08;37
8f765fd5775a8873;Rinat;Fakhretdinov;19.75;38
31123249b0bbf52e;Matt;Brown;18.95;39
681399317dbf4701;Uros;Medic;18.93;40
33efaf2d0941cfcf;Andre;Fialho;18.35;41
c58f51dedb310998;Michael;Chiesa;16.65;42
a331233f597090a5;Bryan;Barberena;14.62;43
8355922d564b152c;Nate;Diaz;14.07;44
6a2f7c151031653d;Rafael;Dos Anjos;13.39;45
cbb682f5fcc44bfc;Anthony;Pettis;12.94;46
d1941565abf50b16;Jim;Miller;11.07;47
f2925e6db404bf1d;Robbie;Lawler;9.37;48
523fa774700d7d3f;Court;McGee;8.43;49
6d1bffff14897645;Santiago;Ponzinibbio;8.39;50
a8283a4f415e1eb9;Francisco;Trinaldo;7.63;51
31dbfbe4e7a6727c;Trey;Waters;7.0;52
2975297f505e9447;Jonny;Parsons;6.83;53
3d074044a33825e7;Ramiz;Brahimaj;6.83;54
82d4c957649faf9b;Miguel;Baeza;6.56;55
b12fb759e02378de;Gilbert;Urbina;6.33;56
8adcbd525fab8d9b;Elizeu;Zaleski dos Santos;5.54;57
90da09db03e41748;Sergey;Khandozhko;5.51;58
1497e735d9f2560a;Ange;Loosa;5.34;59
d8da10db80131bec;Niko;Price;5.29;60
dda15dbfafb792df;Kevin;Jousset;5.0;61
fa07345cc9db5cc9;Billy;Goff;5.0;62
d317a5e2b3f88c5f;Warlley;Alves;4.84;63
49ee5024966efc0d;Mounir;Lazzez;4.66;64
f9f07bb5a43535ed;Carlos;Condit;4.64;65
725b1abc9a39d873;AJ;Fletcher;4.62;66
b27a1fcb56a3035a;Trevin;Giles;4.61;67
a01a62132460a98d;Adam;Fugitt;4.56;68
776d4262c4da38bf;Pete;Rodriguez;4.53;69
5eb50529a8418b77;Gabe;Green;4.5;70
5f3805dda9661cba;Jason;Witt;3.89;71
40f3cb27fc7305a1;Themba;Gorimbo;3.76;72
029e1293e609fd74;Abubakar;Nurmagomedov;3.62;73
32490e80ddab1e5a;Song;Kenan;3.42;74
8f6a18831a120817;James;Krause;3.38;75
feedf3053472fe56;Charles;Radtke;3.0;76
f4c49976c75c5ab2;Conor;McGregor;2.93;77
257b0c8d6f199895;Impa;Kasanganay;2.92;78
a6cba6bb66c1a8c9;Danny;Roberts;2.75;79
c730a0be691dc081;Jared;Gooden;2.39;80
9e50097a89442158;Mickey;Gall;2.36;81
2c010b26a3306969;Orion;Cosce;2.29;82
9fe7af8b3fbe00a0;Preston;Parsons;2.06;83
abd5fb12437eda21;Ramazan;Emeev;1.85;84
57b10fca4f9c9a7a;Alex;Oliveira;1.61;85
a6c20202c701e5ca;Sasha;Palatnikov;1.4;86
ae071698e1a3ccd4;Christian;Aguilera;1.15;87
f2b6fdb20675b11c;Mike;Perry;1.14;88
cf65d56b0755ed3b;Alan;Jouban;0.84;89
8abac218746e04ca;Takashi;Sato;0.82;90
f998f5c102250d6e;Yohan;Lainesse;0.8;91
0641c21bec209472;Mike;Jackson;0.69;92
82e7929bf6c2b689;Diego;Sanchez;0.41;93
8be158ca1e5ea6a0;Dwight;Grant;0.4;94
9ccf8371fd80d45d;Luan;Chagas;0.0;95
a12a8314adc1c1c9;Laureano;Staropoli;0.0;96
99bd87a300079ed9;Erik;Koch;0.0;97
9bcf8603ceb25680;Dong Hyun;Kim;0.0;98
a01e84abefd85ec0;Pascal;Krauss;0.0;99
98f6da59d765ec94;Charlie;Brenneman;0.0;100
980b4e712489098e;Dave;Strasser;0.0;101
b0550072e5f0afa7;Yoshihiro;Akiyama;0.0;102
9fe85152f351e737;Mike;Swick;0.0;103
95eb112a85601a0a;Jutaro;Nakao;0.0;104
a56607a451e4c70d;Chris;Wilson;0.0;105
a6d8bfe9e0c8153b;Kevin;Burns;0.0;106
9fa3bd637edd9aa2;Patrick;Cote;0.0;107
99c7610aa74995d3;Cathal;Pendred;0.0;108
aec185309b4843d0;Siyar;Bahadurzada;0.0;109
9b74de674c355425;Paul;Taylor;0.0;110
9c669abd35b2522f;Greg;Soto;0.0;111
9b7694d064a8a0ad;Rustam;Khabilov;0.0;112
a149d6bc670cdb60;Dustin;Hazelett;0.0;113
9c65736747ca92ec;Leonardo;Santos;0.0;114
9d4522df6fc49a47;Kuniyoshi;Hironaka;0.0;115
a2b12c3f3d60ff69;Alex;Garcia;0.0;116
a8aba6fd8a463043;Jess;Liaudin;0.0;117
9ce6d5a03af801b7;Darren;Till;0.0;118
ab8900ae1f1dfd4c;Yoshiyuki;Yoshida;0.0;119
ab850a77a0fa487d;Sean;Spencer;0.0;120
a26198ba5093147e;TJ;Grant;0.0;121
aac5ac38148f0528;Paul;Kelly;0.0;122
acff437707625fc7;Yushin;Okami;0.0;123
cd7bafbeee1f29a0;War;Machine;0.0;124
b2acebbef8da14ea;Akihiro;Gono;0.0;125
b7d524c77c27389b;Marcus;Davis;0.0;126
e361e5c858af6ff1;Alex;Karalexis;0.0;127
e51fcd9cd84c0b93;Michel;Prazeres;0.0;128
e56daf7725a0b5ab;Justin;Edwards;0.0;129
e57fdbea1b828202;Jake;Hecht;0.0;130
e5d03e4d966126bd;Jason;High;0.0;131
e5ecaf884b6da2bc;Chris;Clements;0.0;132
e70de1859b7ee78e;Sultan;Aliev;0.0;133
e86bc32f5997a8f7;Forrest;Petz;0.0;134
e9213f53ddeca978;Dhiego;Lima;0.0;135
eae431e70064e046;Abdul;Razak Alhassan;0.0;136
eaea0fc7b76525a8;Mike;Guymon;0.0;137
ec2d13a87d3d9541;Sheldon;Westcott;0.0;138
ed74afc8b5b47a61;William;Macario;0.0;139
ed9d8ee3a4239b1c;Sage;Northcutt;0.0;140
ee457ef1e1c326c1;Ben;Earwood;0.0;141
eee7dafac7d672b5;Brian;Melancon;0.0;142
efb9a43415a56d34;Sai;Wang;0.0;143
