href;firstName;lastName;rank_score_Women's Bantamweight;rank_Women's Bantamweight
80fa8218c99f9c58;Amanda;Nunes;57.17;1
3253b16d38ae087d;Julianna;Pena;41.46;2
fc169c387b4b465d;Raquel;Pennington;25.94;3
b9706f80d005036c;Ketlen;Vieira;25.44;4
cc8c623cca88f54f;Mayra;Bueno Silva;21.13;5
91dac5e69e28d5b5;Pannie;Kianzad;13.89;6
103e2e33a60683e1;Irina;Alekseeva;13.62;7
2c5f5749569eef66;Tainara;Lisboa;10.73;8
5e6294b37bbef029;Stephanie;Egger;10.28;9
634e2fb70bde3fd5;Holly;Holm;10.25;10
bd532e9a2b93870c;Melissa;Dixon;9.97;11
351c4ec637380ad5;Karol;Rosa;8.91;12
a78a87d8c2bbb1cb;Julija;Stoliarenko;8.59;13
06e4245d16fc5315;Ailin;Perez;8.07;14
f2b3f4ef3f780168;Nora;Cornolle;7.78;15
578ef12674df1e6a;Irene;Aldana;7.36;16
b1e5bcaad32a3cac;Priscila;Cachoeira;7.16;17
7be74a12d7352df2;Sara;McMann;6.62;18
f9ab66e67240db7b;Joselyne;Edwards;6.6;19
4f3064faf17aa711;Tamires;Vidal;6.3;20
4c2d90e335e6df19;Alexis;Davis;6.07;21
68d35296f566792b;Josiane;Nunes;5.68;22
3143bf892608139a;Yana;Santos;4.45;23
60193e707634e560;Montserrat;Rendon;4.34;24
3cf66c62d9069f43;Lucie;Pudilova;4.11;25
b96619b3acd7d9da;Miesha;Tate;4.06;26
6c8072b61c276e67;Jessica-Rose;Clark;4.04;27
86d9dbe1bfcbade7;Julia;Avila;3.11;28
5c637af9472ae7cc;Jamey-Lyn;Horth;2.93;29
4234f0097c83fa62;Sijara;Eubanks;2.48;30
1d239d571e342453;Germaine;de Randamie;2.39;31
9cdd2da1a9104a0b;Macy;Chiasson;2.07;32
9b7dfb3b7d99926a;Vanessa;Melo;1.86;33
d3f5d33d61cd00c9;Norma;Dumont;1.13;34
68d4a891e5cf2029;Tracy;Cortez;0.74;35
b60c980f79b87ce8;Bea;Malecki;0.61;36
d4691518d012b9e7;Aspen;Ladd;0.06;37
f72465a784c1b084;Jessica;Eye;0.0;38
e872e9a9a902c045;Katlyn;Chookagian;0.0;39
dcbf01d605681ad1;Elizabeth;Phillips;0.0;40
c7d297714d9ab1a4;Marion;Reneau;0.0;41
a7ddae0be8b78147;Jessamyn;Duke;0.0;42
016a8d958883167c;Gina;Mazany;0.0;43
8bdac25ce0bb874d;Ronda;Rousey;0.0;44
76984112f697631f;Leslie;Smith;0.0;45
729d4bd5a6cd0a97;Lauren;Murphy;0.0;46
6a1901c62ab3870f;Jessica;Andrade;0.0;47
673ea7dcc786b1b3;Bethe;Correia;0.0;48
5b2325cd70dbe2ea;Talita;Bernardo;0.0;49
539ed332b3078821;Sarah;Moras;0.0;50
51a0c09cbe9b8472;Liz;Carmouche;0.0;51
46a2f24feb258ae0;Valerie;Letourneau;0.0;52
3ecd936bd8814108;Cat;Zingano;0.0;53
36df8e119aec6175;Sarah;Kaufman;0.0;54
36541f1e6c5d4955;Viviane;Araujo;0.0;55
2eeaefbfc7f9fcff;Lina;Lansberg;0.0;56
132deb59abae64b1;Valentina;Shevchenko;0.0;57
072a10e85f7d4bff;Milana;Dudieva;0.0;58
fc6e681bf6658faf;Ashlee;Evans-Smith;0.0;59
