href;firstName;lastName;rank_score_Women's Flyweight;rank_Women's Flyweight
e8b731feff72294b;Alexa;Grasso;102.65;1
669970f7feba8ecd;Erin;Blanchfield;90.96;2
34ff304266360297;Manon;Fiorot;81.31;3
132deb59abae64b1;Valentina;Shevchenko;65.69;4
6a740daf1b279661;Maycee;Barber;52.63;5
36541f1e6c5d4955;Viviane;Araujo;44.52;6
8e1f36476ef02a6a;Jennifer;Maia;36.3;7
e872e9a9a902c045;Katlyn;Chookagian;35.63;8
f29a6350c69f4a33;Miranda;Maverick;33.95;9
262d32ebda89efc4;Natalia;Silva;28.71;10
6a1901c62ab3870f;Jessica;Andrade;27.61;11
6fd953151d981979;JJ;Aldrich;25.33;12
68d4a891e5cf2029;Tracy;Cortez;25.01;13
6551c64fbcd1a467;Ariane;Lipski;23.93;14
f7467152fd9f18a2;Taila;Santos;23.42;15
04835018f90b118c;Casey;O'Neill;23.05;16
9d62c2d8ee151f08;Karine;Silva;22.91;17
a9e260472d321361;Jasmine;Jasudavicius;22.18;18
38c7f72747f4f712;Gillian;Robertson;21.39;19
beecb672a279223e;Amanda;Ribas;19.93;20
51018a31ddf31eb2;Molly;McCann;19.16;21
a78a87d8c2bbb1cb;Julija;Stoliarenko;16.1;22
05fa626cb33d15b8;Andrea;Lee;15.14;23
729d4bd5a6cd0a97;Lauren;Murphy;14.48;24
b4192a975027aab6;Maryna;Moroz;12.21;25
a4a80dd7336ffd59;Melissa;Gatto;11.93;26
b08012bbe542592a;Tatiana;Suarez;10.53;27
a08ddd04eaffd81d;Mariya;Agapova;9.27;28
12f91bfa8f1f723b;Joanne;Wood;8.05;29
528b071cf3da7c56;Luana;Carolina;8.04;30
d7338bcb141abd2c;Antonina;Shevchenko;7.98;31
5078e1dacf9d25f4;Luana;Santos;7.13;32
b1e5bcaad32a3cac;Priscila;Cachoeira;6.83;33
cd2c4d30c6e13b47;Marina;Rodriguez;6.49;34
4798e823ada58fe9;Veronica;Hardy;5.12;35
568bbad0eaced57c;Shanna;Young;4.91;36
80d8aed0ca9b00f3;Montana;De La Rosa;4.57;37
d343df8ba11f4c4e;Nina;Nunes;4.35;38
5f179af5fffeb9f6;Cortney;Casey;3.91;39
aa0c573da7119292;Juliana;Miller;3.84;40
26e3f3928b1891d9;Hannah;Goldy;3.56;41
4498b382c65a7faa;Roxanne;Modafferi;3.16;42
59c438c81fbf3ece;Tereza;Bleda;3.0;43
abcf2cc6efc42031;Iasmin;Lucindo;2.92;44
122ac9b816d8b71c;Shana;Dobson;2.61;45
4234f0097c83fa62;Sijara;Eubanks;2.36;46
9dedfdd91070ddd8;Victoria;Leonardo;2.27;47
98215d037be5bcb7;Cynthia;Calvillo;2.12;48
70d2329a92864fdb;Sabina;Mazo;2.08;49
e99821959a840bb8;Lara;Procopio;2.06;50
016a8d958883167c;Gina;Mazany;1.63;51
cc8c623cca88f54f;Mayra;Bueno Silva;1.4;52
297a2b35444c245b;Mandy;Bohm;1.33;53
eebc23626e38f5dc;Liana;Jojua;0.88;54
928ae2e5b5f7a9ec;Justine;Kish;0.26;55
f72465a784c1b084;Jessica;Eye;0.1;56
a20f234df70f2182;Ji Yeon;Kim;0.0;57
4c2d90e335e6df19;Alexis;Davis;0.0;58
fc6e681bf6658faf;Ashlee;Evans-Smith;0.0;59
f923e012414c883e;Lauren;Mueller;0.0;60
1de9ad94de18eeaf;Nicco;Montano;0.0;61
4d5197f331c47290;Paige;VanZant;0.0;62
51a0c09cbe9b8472;Liz;Carmouche;0.0;63
5c126c6aac3ef364;Poliana;Botelho;0.0;64
6c8072b61c276e67;Jessica-Rose;Clark;0.0;65
01784fbc27c68b14;Rachael;Ostovich;0.0;66
7559395ad833c074;Miranda;Granger;0.0;67
82cbb809d5ee565c;Mara;Romero Borella;0.0;68
fdbefee0827e1567;Wu;Yanan;0.0;69
