href;firstName;lastName;rank_score_Women's Strawweight;rank_Women's Strawweight
1ebe20ebbfa15e29;Zhang;Weili;112.44;1
c41d426cc7326d1b;Yan;Xiaonan;57.6;2
d910665038efc639;Carla;Esparza;57.58;3
47b63240018d5d86;Rose;Namajunas;54.62;4
3df5493bb279226f;Amanda;Lemos;53.25;5
8e5d953bdb9ae5e7;Loopy;Godinez;50.14;6
6a1901c62ab3870f;Jessica;Andrade;41.48;7
7dda2cf308f24a02;Virna;Jandiroba;40.5;8
d25240135aee03e5;Tabatha;Ricci;40.1;9
cd2c4d30c6e13b47;Marina;Rodriguez;38.41;10
7447e9f28508106a;Mackenzie;Dern;36.44;11
b08012bbe542592a;Tatiana;Suarez;32.27;12
d7c3816669784109;Karolina;Kowalkiewicz;25.63;13
f0feeb2192937424;Angela;Hill;20.01;14
beecb672a279223e;Amanda;Ribas;19.55;15
2c483cf443f38ece;Vanessa;Demopoulos;16.8;16
abcf2cc6efc42031;Iasmin;Lucindo;16.55;17
cffb87059e645bd1;Denise;Gomes;16.09;18
9673a497a9da119a;Polyana;Viana;15.45;19
3351aa64aa83c4d9;Cory;McKenna;13.62;20
38c7f72747f4f712;Gillian;Robertson;13.04;21
4e30e4250cb08b61;Loma;Lookboonmee;11.75;22
ac7c765882f2c68c;Elise;Reed;10.52;23
6c9b66b43663f2f7;Viktoriia;Dudakova;10.25;24
e375cb5caf4717b6;Piera;Rodriguez;9.72;25
02f8fedc18cbd26c;Emily;Ducote;9.08;26
e94085e821bd81de;Sam;Hughes;9.05;27
31ef8b67e13495b3;Tecia;Torres;8.89;28
4959f10a62f3fec3;Cheyanne;Vlismas;7.53;29
a3a542074109b347;Luana;Pinheiro;7.36;30
40cb680ae1cd331f;Yazmin;Jauregui;6.64;31
d7e40dca3ae125be;Diana;Belbita;5.81;32
bc7d1ad49fcb2d08;Jaqueline;Amorim;5.68;33
de594b35c45c2e9a;Eduarda;Moura;5.58;34
b4880ef2f838d4e1;Silvana;Gomez Juarez;5.44;35
c0d5c0c95c59050b;Ariane;Carnelossi;4.69;36
c742287ed86a09bc;Jessica;Penne;4.65;37
d05cb1e8d1b885d8;Jinh Yu;Frey;4.25;38
4a57ebb14315b251;Randa;Markos;3.35;39
971dba22c622af12;Josefine;Knutsson;3.0;40
7138a15258dabf20;Bruna;Brasil;3.0;41
5dd180c8b3196786;Gloria;de Paula;2.85;42
e0b0cf71e0d69dd0;Kanako;Murata;2.66;43
eb04b9d31e938edb;Michelle;Waterson-Gomez;2.6;44
37d752ec41ed84bb;Maria;Oliveira;2.36;45
19b7738321cfae42;Mallory;Martin;2.11;46
ec34349e7dffcde7;Claudia;Gadelha;1.64;47
4100c7a09497ad41;Kay;Hansen;1.23;48
dab8cfbb6b1db10a;Livinha;Souza;1.14;49
b4c6c904a9ffc5e8;Ashley;Yoder;1.14;50
1235b31de15d0c6e;Montserrat Conejo;Ruiz;1.12;51
d50382dc0565a9e1;Viviane;Pereira;0.0;52
d343df8ba11f4c4e;Nina;Nunes;0.0;53
d4a31850a7457f1b;Amanda;Cooper;0.0;54
165c244bcca3ed26;Seo Hee;Ham;0.0;55
3d6749c4267da18f;Joanna;Jedrzejczyk;0.0;56
12f91bfa8f1f723b;Joanne;Wood;0.0;57
5c126c6aac3ef364;Poliana;Botelho;0.0;58
4d5197f331c47290;Paige;VanZant;0.0;59
e50cd77732d39967;Aisling;Daly;0.0;60
e76d9f656ceb82ab;Aleksandra;Albu;0.0;61
e8b731feff72294b;Alexa;Grasso;0.0;62
dd4c16777fb2ccf9;Heather;Clark;0.0;63
26b63bc5c0c1f65d;Alex;Chambers;0.0;64
2244d9a2b64b8c3b;Hannah;Cifers;0.0;65
6fd953151d981979;JJ;Aldrich;0.0;66
75a6a390fd5dca46;Juliana;Lima;0.0;67
8f382b3baa954d2a;Jessica;Aguilar;0.0;68
907e60fd13407e1e;Bec;Rawlings;0.0;69
928ae2e5b5f7a9ec;Justine;Kish;0.0;70
05b43e0ead3df345;Kailin;Curran;0.0;71
98215d037be5bcb7;Cynthia;Calvillo;0.0;72
a851c35f58199231;Syuri;Kondo;0.0;73
6e7506127408aa9e;Nadia;Kassem;0.0;74
882d62561063a927;Jamie;Moyle;0.0;75
b3d21b2610dcfaeb;Emily;Whitmire;0.0;76
b4192a975027aab6;Maryna;Moroz;0.0;77
6a740daf1b279661;Maycee;Barber;0.0;78
b53c46f613f6f248;Brianna;Fortino;0.0;79
b6850671a008bf9a;Felice;Herrig;0.0;80
b76c6268dc1d3c05;Danielle;Taylor;0.0;81
5f179af5fffeb9f6;Cortney;Casey;0.0;82
46a2f24feb258ae0;Valerie;Letourneau;0.0;83
