href;firstName;lastName;rank_score_Bantamweight;rank_Bantamweight
b50a426a33da0012;Sean;O'Malley;14124.2;1
c03520b5c88ed6b4;Merab;Dvalishvili;8670.3;2
cb696ebfb6598724;Aljamain;Sterling;8510.82;3
65f09bacd3957381;Cory;Sandhagen;6754.04;4
7c7332319c14094c;Marlon;Vera;4277.46;5
d661ce4da776fc20;Petr;Yan;2745.99;6
d0f3959b4a9747e6;Jose;Aldo;2527.6;7
c849740a3ff51931;TJ;Dillashaw;2186.83;8
efb96bf3e9ada36f;Song;Yadong;1452.35;9
05339613bf8e9808;Rob;Font;1058.31;10
6bd02119599741a4;Pedro;Munhoz;768.24;11
10f3ba6cd2f44a97;Dominick;Cruz;758.93;12
f2477cf43c4975cc;Jonathan;Martinez;670.97;13
45f0cc9d18f35137;Chris;Gutierrez;429.51;14
2f6a993c7f547c13;Sergey;Morozov;382.75;15
0fd5f4b838e890cc;Said;Nurmagomedov;260.16;16
82b4e942781b1046;Raulian;Paiva;240.09;17
60425d07ef4b91a7;Kyler;Phillips;218.98;18
f2688492b9a525a3;Frankie;Edgar;175.87;19
5987b2458f4b5290;Ricky;Simon;146.67;20
850266b3dc4e506e;Daniel;Marcos;116.88;21
bc711b6dd95c1af6;Mario;Bautista;101.28;22
113df4fde64735c6;Davey;Grant;99.7;23
b8a85389d115e35a;Jack;Shore;84.52;24
fea79f9bc8c68769;Marlon;Moraes;75.53;25
2b6fc1c02736833d;Umar;Nurmagomedov;73.58;26
cc1a8b4b38b92c6d;Montel;Jackson;67.85;27
46e0d677f91bacc0;Miles;Johns;56.5;28
0232cabbc30a2372;Adrian;Yanez;55.04;29
eb8d8c2a95cfccb8;Victor;Henry;54.13;30
2f13e4020cea5b38;Raphael;Assuncao;47.81;31
a7897d200692ab64;Kyung Ho;Kang;46.48;32
5ec591b78349ba7e;Christian;Rodriguez;41.64;33
bbab3baf66128ae2;Javid;Basharat;40.0;34
d8c7c61b176e3994;Cody;Garbrandt;38.56;35
ec52462a1b41f714;Brett;Johns;38.34;36
50a28b9f8314e008;Saidyokub;Kakhramonov;35.36;37
45e738622ea2c02c;Timur;Valiev;32.48;38
7af33fc4435017f1;Brady;Hiestand;29.85;39
37098a6e6c27fb66;Vince;Morales;27.64;40
3c8a5200436e19f3;Cameron;Saaiman;24.59;41
5fa2974cbd18e05c;John;Castaneda;22.36;42
1291edf2d566a71a;Julio;Arce;21.86;43
b9f28e7045fdfce7;Raoni;Barcelos;20.21;44
24656ef4d605c96f;Aiemann;Zahabi;19.53;45
94527830000ab715;Rani;Yahya;18.45;46
e7e01e266a9d4342;Ronnie;Lawrence;15.42;47
601964f9654f911a;Tony;Gravely;14.54;48
a09ed60aa67a3f67;Farid;Basharat;13.55;49
d05412b513b19621;Guido;Cannetti;12.56;50
3b0a516d2921e0d6;Batgerel;Danaa;11.81;51
99506df1af6c8b3b;John;Dodson;11.34;52
b67d6bacc68d4c92;Daniel;Santos;11.29;53
d2bc285ead803db0;Louis;Smolka;11.15;54
3a314d9fa7c6825d;Douglas;Silva de Andrade;11.12;55
c0386644627a7ee5;Mana;Martinez;10.06;56
da22387a0407a2dc;Da'Mon;Blackshear;10.0;57
fe2babf95de24fb1;Raul;Rosas Jr.;9.75;58
bf7ad5628363eec9;Cody;Stamann;9.41;59
1a08b01fdabb6ae2;Tony;Kelley;9.35;60
d8c811df0386d5e8;Rinya;Nakamura;8.75;61
84f727cf0166d6f2;Jose;Johnson;8.61;62
6e9f40c706f91f32;Nate;Maness;7.97;63
ec23c1be628d8057;Trevin;Jones;7.09;64
e7bba7ce4d6c7b07;Casey;Kenney;6.73;65
f6bcbd91b114ff58;Johnny;Munoz;6.34;66
7debc13b36343605;Cristian;Quinonez;5.43;67
6e743a33d56bdaa4;Payton;Talbott;5.0;68
c0ac37a4a1133da9;Marcus;McGhee;5.0;69
1effd880e1f1bb30;Garrett;Armfield;5.0;70
056c493bbd76a918;Henry;Cejudo;4.04;71
8b1ed83b02303075;Taylor;Lapilus;4.0;72
7b433309b0fd12aa;Brad;Katona;4.0;73
96924b0019b3aff1;Gaston;Bolanos;3.8;74
c7c39e2fb70248b3;Chad;Anheliger;3.58;75
78f485f851891d68;Journey;Newson;3.13;76
80daefbed11ce998;Alejandro;Perez;2.98;77
7be14eaed4c74856;Brian;Kelleher;2.55;78
5f6f049d54728e88;Andre;Ewell;2.54;79
6e00cfffd54653c4;Tyson;Nam;2.3;80
2af2f2e26c4c0402;Hunter;Azure;1.92;81
