href;firstName;lastName;rank_score_Featherweight;rank_Featherweight
e1248941344b3288;Alexander;Volkanovski;17075.81;1
150ff4cc642270b9;Max;Holloway;16302.78;2
040a74bb0a465c54;Arnold;Allen;10661.99;3
54f64b5e283b0ce7;Ilia;Topuria;7799.45;4
cbf5e6f231b55443;Yair;Rodriguez;7308.75;5
fba03cd6cc28dc41;Josh;Emmett;5595.77;6
9abc648e76c4493a;Bill;Algeo;3108.4;7
9560ff14eb3129f7;Giga;Chikadze;2310.18;8
d9c6f19f958643e9;Bryce;Mitchell;2246.99;9
76e2870ffafbe38f;Movsar;Evloev;1735.93;10
751de04455cfaac0;Calvin;Kattar;1704.21;11
7aa3d6964eff4877;Alex;Caceres;1518.68;12
c451d67c09c55418;Chan Sung;Jung;1453.84;13
64a50dad704d1d49;Edson;Barboza;1451.26;14
82a5152216251682;Dan;Ige;1424.57;15
aa171d55d4b5208f;Billy;Quarantillo;958.85;16
396fe87b84ac2e1c;Lerone;Murphy;924.36;17
6751eacd16bd59bc;Josh;Culibao;797.89;18
31f8081c7600da93;Kyle;Nelson;765.76;19
5bf31a46becc1204;Michael;Trizano;760.13;20
94426bb170c88115;Sodiq;Yusuff;751.19;21
d2f43cfaf8ca3560;Fernando;Padilla;716.07;22
8d11d9c13e2ccdf7;Muhammad;Naimov;622.57;23
329e403448756217;Nathaniel;Wood;617.56;24
902ec2cc48c8ae8a;Julian;Erosa;526.25;25
98d961097baaf308;Shane;Burgos;501.93;26
a68575214ecad140;SeungWoo;Choi;492.78;27
29af297d9f1de0f8;Damon;Jackson;407.04;28
f1d64ae34e088832;Charles;Jourdain;406.8;29
def8166ff24bd237;Brian;Ortega;350.21;30
791c8437b341fba5;Joanderson;Brito;344.71;31
97cf1a2c7c5e7889;Steve;Garcia;301.49;32
87c0b1c696ddfb43;Jonathan;Pearce;278.42;33
d247691a6c0e9034;Cub;Swanson;278.32;34
0a73acff6325c1e2;Shayilan;Nuerdanbieke;254.67;35
92a9aa9c93192871;Darren;Elkins;231.74;36
583ee11abddfc581;Nate;Landwehr;225.82;37
f166e93d04a8c274;Diego;Lopes;149.0;38
9c907996820d2d69;Jimmie;Rivera;120.37;39
b8bbdeff718dbb7d;Pat;Sabatini;114.94;40
8866c6f509c19089;Ryan;Hall;109.27;41
361d49960a196976;Daniel;Pineda;72.41;42
2c9d00968f818270;Hakeem;Dawodu;69.31;43
34e516ab361afb1c;Darrick;Minner;68.58;44
a52bc1e62cf0b7c6;Melsik;Baghdasaryan;67.15;45
2b6fc1c02736833d;Umar;Nurmagomedov;55.49;46
5987b2458f4b5290;Ricky;Simon;48.12;47
7832f2f62f04178f;Tucker;Lutz;46.74;48
