href;firstName;lastName;rank_score_Flyweight;rank_Flyweight
a0f0004aadf10b71;Alexandre;Pantoja;6914.07;1
792be9a24df82ed6;Brandon;Moreno;5893.67;2
aa72b0f831d0bfe5;Deiveson;Figueiredo;2482.27;3
6d35bf94f7d30241;Amir;Albazi;962.51;4
853eb0dd5c0e2149;Kai;Kara-France;775.29;5
b1d19449397541dc;Askar;Askarov;366.12;6
6e15f63b6c2e2c15;Brandon;Royval;146.58;7
ab2b4ff41d6ebe0f;Alex;Perez;99.49;8
1a31ef98efce7a79;Matheus;Nicolau;85.7;9
75353550928a7921;Muhammad;Mokaev;65.52;10
7f6ed67d3ed3c036;Cody;Durden;51.1;11
5d1b7e3dd9e11074;Manel;Kape;38.51;12
294aa73dbf37d281;Bruno;Silva;33.53;13
8d3273573b85be09;Assu;Almabayev;33.07;14
32ab52e5de93092d;Steve;Erceg;30.15;15
f00ac08ab056af5d;Tagir;Ulanbekov;29.91;16
c96d9178c9ed9e62;Tim;Elliott;29.65;17
7f1bf0c255ec8756;Azat;Maksum;25.43;18
67c1d46f4ed16f9e;Matt;Schnell;23.37;19
60a42bf82447c919;Jake;Hadley;19.19;20
6e00cfffd54653c4;Tyson;Nam;18.78;21
83455a9d17f57dae;Rafael;Estevam;16.42;22
4461d7e47375a895;Tatsuro;Taira;13.3;23
814e5233e2acf2ee;Charles;Johnson;12.42;24
6d68c1afe954f121;Ode;Osbourne;10.43;25
008ea710276c9606;Jeff;Molina;9.79;26
9ada30894bf04e19;David;Dvorak;9.75;27
077e3ace32b72be9;CJ;Vergara;9.53;28
253076a23d03dcd0;Allan;Nascimento;8.8;29
17e97649403ba428;Joshua;Van;8.28;30
dc7927cd622676a7;Victor;Altamirano;8.05;31
dee294e9717012c2;Malcolm;Gordon;7.76;32
3fa97913cfd205d3;Alessandro;Costa;7.44;33
cdadae5363b66eef;Francisco;Figueiredo;5.38;34
c051c2e12d692b8a;Jesus;Aguilar;5.0;35
6e9f40c706f91f32;Nate;Maness;5.0;36
65adf3856c4d9256;Jafel;Filho;5.0;37
102a8fdf8cbf7467;Kleydson;Rodrigues;4.75;38
b671bdf981ad527d;HyunSung;Park;4.75;39
b62d5280966b2460;Clayton;Carpenter;4.75;40
798e48f9e7f6ba22;Carlos;Hernandez;4.72;41
55fa6ce3e522c8bb;Zhalgas;Zhumagulov;2.62;42
79cb2a690b9ba5e8;Zarrukh;Adashev;2.47;43
09e62c450e754913;Jimmy;Flick;1.75;44
82b4e942781b1046;Raulian;Paiva;1.69;45
a4de54ea806fb525;Ray;Borg;1.3;46
e18a19001a3f7c7d;Alptekin;Ozkilic;0.0;47
ba043b03eb799063;Phil;Harris;0.0;48
9fa568ad2bf2cb0b;Justin;Scoggins;0.0;49
a0c64f272b65d441;Eric;Shelton;0.0;50
f57dd0bfa8c17813;Mark;De La Rosa;0.0;51
f53c1f4ceeed8c08;Dustin;Ortiz;0.0;52
ec664422b22d9787;Jenel;Lausa;0.0;53
b2e3aca4cd363477;Chris;Cariaso;0.0;54
b72a60a0cadff408;Louis;Gaudinot;0.0;55
d2036f31c035e0d1;Jose;Torres;0.0;56
99506df1af6c8b3b;John;Dodson;0.0;57
b102c26727306ab6;Jussier;Formiga;0.0;58
de75d1c45a39e221;Sergio;Pettis;0.0;59
c268b2cfebccf652;John;Lineker;0.0;60
b12fc8a41e82d3a2;Joby;Sanchez;0.0;61
c945adc22c2bfe8f;Brad;Pickett;0.0;62
d2bc285ead803db0;Louis;Smolka;0.0;63
c169545ab0825f44;Geane;Herrera;0.0;64
7c3c48cf54a2848e;Yuta;Sasaki;0.0;65
98aa60cf58071fd6;Kyoji;Horiguchi;0.0;66
546f8599a63c29da;Robert;Sanchez;0.0;67
07a2bdaa0afdd831;Rogerio;Bontorin;0.0;68
0b64d0fed453ef7f;Scott;Jorgensen;0.0;69
0ccab7c889ede9ea;Fredy;Serrano;0.0;70
0d0351c20169a499;Jon;Delos Reyes;0.0;71
0fd5f4b838e890cc;Said;Nurmagomedov;0.0;72
199eb7cf6ae90294;Naoki;Inoue;0.0;73
20999e27ddd94bda;Ryan;Benoit;0.0;74
215a70f073a7b726;Jordan;Espinosa;0.0;75
2fe9032955c2e013;Joseph;Morales;0.0;76
32be4b7f7de1c905;Chico;Camus;0.0;77
3dd92ff9fb0412b3;Ali;Bagautinov;0.0;78
449c890bd90f3374;Hector;Sandoval;0.0;79
49a74b9fb2e45fdf;Neil;Seery;0.0;80
54578e5927adea53;Richie;Vaculik;0.0;81
56c9acc4e86046a2;Chris;Kelades;0.0;82
92437c6775b3f7d1;John;Moraga;0.0;83
57ab4d7c0bc09a30;Zach;Makovsky;0.0;84
5aedf14771ca82d2;Wilson;Reis;0.0;85
5ea918ea81b7dee2;Yao;Zhikui;0.0;86
6546af7ab545b90c;Darren;Uyenoyama;0.0;87
6ded9184b2284645;Willie;Gates;0.0;88
6e7c758f5cdec01a;Paddy;Holohan;0.0;89
701e057d63c124d9;Ian;McCall;0.0;90
056c493bbd76a918;Henry;Cejudo;0.0;91
80eacd4da0617c57;Joseph;Benavidez;0.0;92
81d9df19e255b8b6;Jarred;Brooks;0.0;93
840d2c82ea68b9aa;Ben;Nguyen;0.0;94
87f19d19f4cb73f8;Bibulatov;Magomed;0.0;95
8a304bfd6bf04a57;Demetrious;Johnson;0.0;96
8a9c6c4301f6d088;Danny;Martinez;0.0;97
f65dcb22dada2223;Josh;Sampo;0.0;98
