href;firstName;lastName;rank_score_Heavyweight;rank_Heavyweight
399afbabc02376b5;Tom;Aspinall;223494.03;1
787bb1f087ccff8a;Ciryl;Gane;203582.22;2
f14cf73e51b29254;Sergei;Pavlovich;203293.99;3
07f72a2a7591b409;Jon;Jones;186608.43;4
8d03ce87ca14e778;Francis;Ngannou;185825.99;5
279566840aa55bf2;Alexander;Volkov;102769.95;6
fa6796c55d6c5440;Curtis;Blaydes;57472.83;7
41e83a89929d1327;Jailton;Almeida;57281.87;8
c62fbc117d57b943;Tai;Tuivasa;56985.33;9
e2f6b2769aaedd6c;Serghei;Spivac;50738.19;10
d3df1add9d9a7efb;Derrick;Lewis;30512.4;11
2cd428e9606856fd;Jairzinho;Rozenstruik;16989.47;12
d28dee5c705991df;Stipe;Miocic;16558.01;13
d0aaedcf7ccd0b45;Chris;Daukaus;3188.99;14
c9cf753cfdf77fc2;Marcin;Tybura;2317.68;15
b4ad3a06ee4d660c;Alistair;Overeem;2241.74;16
d31a5546c0e9b213;Rodrigo;Nascimento;1615.81;17
e9a3aeb207578eea;Ilir;Latifi;1252.18;18
ab943cd2c3c17825;Marcos;Rogerio de Lima;542.96;19
c0badf3243907e59;Alexandr;Romanov;506.86;20
441eacbe20e0e80b;Augusto;Sakai;495.63;21
98c23cb6da5b3352;Aleksei;Oleinik;424.41;22
1788eee370f077b7;Blagoy;Ivanov;405.46;23
492b202d2064e7a9;Fabricio;Werdum;303.89;24
1a9480fc288e55d7;Don'Tale;Mayes;171.68;25
3738e68d2261e60f;Andrei;Arlovski;126.07;26
04c8b08b16a5b99e;Tanner;Boser;108.51;27
cc7040fe76f0ef91;Devin;Clark;84.2;28
950d0ef5c17157c5;Maxim;Grishin;78.22;29
8eb046f83e82bf26;Martin;Buday;77.09;30
7a5e8c94a86f9895;Chris;Barnett;69.45;31
bd58d34e39b7b12a;Ben;Rothwell;57.64;32
fc08099550072fe4;Waldo;Cortes-Acosta;43.61;33
da7f113b5ea39c43;Mohammed;Usman;42.38;34
85073dbd1be65ed9;Greg;Hardy;40.76;35
a2ea77e974c5889f;Carlos;Felipe;38.63;36
e13abac8089a801a;Justin;Tafa;26.63;37
92fa1401b7927da3;Jake;Collier;26.57;38
d35f734c56a89103;Karl;Williams;26.45;39
c15fa95b9a12fde4;Junior;Tafa;20.08;40
0d5cc0170c1a7e71;Mick;Parkin;17.5;41
01b352b6a9074d5c;Chase;Sherman;17.06;42
068f8a189a47fea6;Maurice;Greene;15.64;43
ac40f7e3cbecdda4;Parker;Porter;13.56;44
f41b9f5efc7162d6;Jamal;Pogues;9.02;45
2b68d9f125d07b42;Jared;Vanderaa;7.57;46
b5da8f7d05e85a55;Josh;Parisian;4.76;47
8614b7134913f5d5;Jarjis;Danho;4.0;48
ccf5dc41417e9daf;Juan;Espino;1.39;49
ac29d508d78384c9;Marcelo;Golm;0.0;50
f86cb5f25d545e0e;Daniel;Spitz;0.0;51
b76ed59283d3559c;Tsuyoshi;Kohsaka;0.0;52
b63e800c18e011b5;Tedd;Williams;0.0;53
a7d687e6ecb30981;Rob;Broughton;0.0;54
f0abbb6f3444dae7;Paul;Buentello;0.0;55
a9d6e047ce48ab63;Allen;Crowder;0.0;56
f1b2a4365799c48b;Christian;Wellisch;0.0;57
b4bc2e3353a770b5;Ian;Freeman;0.0;58
f348d05403fad037;Dan;Bobish;0.0;59
b44f39a5c6596953;Pedro;Rizzo;0.0;60
b369533a577fa97c;Dan;Christison;0.0;61
b361180739bed4b0;David;Abbott;0.0;62
aa03a3ca00ac6827;Carmelo;Marrero;0.0;63
ad56b3f00ca38dfd;Mark;Godbeer;0.0;64
fbbde91f7bc2d3c5;Gary;Goodridge;0.0;65
ad3f53c454cbbead;Josh;Barnett;0.0;66
ba1e6cb3d43f7430;Justin;Ledet;0.0;67
fa315e6c77eee106;Brandon;Vera;0.0;68
b9d0fd83bb8a147a;Keith;Jardine;0.0;69
d761b3766e38c5db;Marcel;Fortuna;0.0;70
ba280572acfba13f;Matt;Mitrione;0.0;71
d5ed14b2153c6ed2;Semmy;Schilt;0.0;72
d468288756ae3982;Renato;Sobral;0.0;73
d90b630e0561818b;Gan;McGee;0.0;74
d967f0128c323de6;Daniel;Cormier;0.0;75
df05aa15b2d66f57;Chris;Tuchscherer;0.0;76
e51ee8ded927fc51;Chris;de la Rocha;0.0;77
e5bda12faabfc850;Luis;Henrique;0.0;78
e6c5908910cc26e4;Lavar;Johnson;0.0;79
ce1e867808ef5fce;Justin;Willis;0.0;80
a7b48e18ca27795d;Mark;Kerr;0.0;81
ebc1f40e00e0c481;Stefan;Struve;0.0;82
ccdd90bd1fc7dab6;Vladimir;Matyushenko;0.0;83
cc900af167fbedfd;Timothy;Johnson;0.0;84
ee779c43a8926d52;Rashad;Evans;0.0;85
cbfd1d34356a004c;Jeff;Monson;0.0;86
cbd6f1abf955e628;Dave;Herman;0.0;87
cac08b8685387ca5;James;McSweeney;0.0;88
ca2efc9d7d523c43;Shawn;Jordan;0.0;89
ee9d73f4fee9cbdd;Antonio Rodrigo;Nogueira;0.0;90
c727c7d31c50c4cf;Anthony;Hamilton;0.0;91
eef9b891edbd4604;Mark;Hunt;0.0;92
c482c8605455a213;Junior;Albini;0.0;93
c32fb8c0f6471a4d;Mirko;Filipovic;0.0;94
efa1f6b42c86793c;Adam;Wieczorek;0.0;95
bda04c573563cc2e;Todd;Duffee;0.0;96
efaf544314bb5c2e;Ron;Waterman;0.0;97
baa5358456803df8;Alex;Hunter;0.0;98
008dc37cca279def;Sean;McCorkle;0.0;99
a54a35a670d8e852;Andre;Roberts;0.0;100
470fedbc8563ac47;Daniel;Omielanczuk;0.0;101
2620f3eb21c79614;Scott;Adams;0.0;102
270b89c00ef0c55c;Gabriel;Gonzaga;0.0;103
27fc9218a3653e3c;Justin;Eilers;0.0;104
2a542ee8a8b83559;Tim;Sylvia;0.0;105
2ee09ec2a0695eb9;Mike;van Arsdale;0.0;106
2f5cbecbbe18bac4;Shamil;Abdurakhimov;0.0;107
31c01fbc2586a5eb;Dwayne;Cason;0.0;108
3236bf606fe9fa5b;Travis;Browne;0.0;109
33e33d51f289d2a1;Maurice;Smith;0.0;110
353de740bb6c7e75;Mike;Russow;0.0;111
369e1ce458ef50a6;Ruslan;Magomedov;0.0;112
3da19339ee7051d5;Justin;Martin;0.0;113
3e514f437c51ce0a;Steven;Graham;0.0;114
3f7c14c7eca7195d;Roy;Nelson;0.0;115
41f90012b86a11bf;Raphael;Pessoa;0.0;116
21b8a0f5c231096f;Mark;Coleman;0.0;117
219a254e15d60135;Tim;Hague;0.0;118
20bcc9966affb19c;Jake;O'Brien;0.0;119
0ff11cc094e887bc;Cain;Velasquez;0.0;120
03688dc3c3af3ac1;Bas;Rutten;0.0;121
03f982ca3735070c;Walt;Harris;0.0;122
06f0ffa6446c5b6d;Branden Lee;Hinkle;0.0;123
08ae5cd9aef7ddd3;Kimo;Leopoldo;0.0;124
0aa92558424ced9e;Randy;Couture;0.0;125
0ee783aa00e468f0;Vitor;Belfort;0.0;126
1091d4d957141094;Nikita;Krylov;0.0;127
202b0467521c9d6f;Viktor;Pesta;0.0;128
13a0275fa13c4d26;Jared;Cannonier;0.0;129
13c4313ed0f744f3;Brad;Kohler;0.0;130
1dab0d1d81dd06db;Tra;Telligman;0.0;131
1eacf73d6a0055dc;Cheick;Kongo;0.0;132
1eff7bc0f815b270;Yorgan;De Castro;0.0;133
1ff9589f9065a9ed;Frank;Mir;0.0;134
46baf0f57edfa4df;Joey;Beltran;0.0;135
4e9fb05d7e5e61b8;Wesley;Correira;0.0;136
9fd1f08dd4aec14a;Dave;Beneteau;0.0;137
50cc91ce2982785d;Ricco;Rodriguez;0.0;138
7450525c7ba032a0;Heath;Herring;0.0;139
75f871836d41f90f;Justin;McCully;0.0;140
7691a80e6ca3e55b;Jon;Madsen;0.0;141
7e511f8d842a109d;Arjan;Bhullar;0.0;142
7f0b4a75ef3039a3;Eddie;Sanchez;0.0;143
80779d7441af1b52;Christian;Morecraft;0.0;144
8349d55cdecd393a;Antonio;Silva;0.0;145
83b00f7597e5ac83;Juan;Adams;0.0;146
85ff1b9471d35238;Dmitry;Sosnovskiy;0.0;147
89a407032911e27e;Brendan;Schaub;0.0;148
911fb265462f0d94;Travis;Fulton;0.0;149
91ea901c458e95dd;Jared;Rosholt;0.0;150
977081bc01197656;Scott;Ferrozzo;0.0;151
9b5b5a75523728f3;Kazushi;Sakuraba;0.0;152
9be6020024133293;Cyril;Asker;0.0;153
72ffecf712673af1;Adam;Milstead;0.0;154
6ef65b6a152e49d5;Philip;De Fries;0.0;155
6aa1cbc1466e9a0b;Marcio;Cruz;0.0;156
60884f31ead1609c;Jonathan;Wiezorek;0.0;157
513c6f1715e547a8;Brock;Lesnar;0.0;158
51b0bb73a1da34bc;Mike;Ciesnolevicz;0.0;159
52e76bb4b3e852f3;Antonio;Carlos Junior;0.0;160
56b8b24f65f9f057;Mike;Kyle;0.0;161
5898357a45a73674;Sione;Latu;0.0;162
60029bcf496bd707;Soa;Palelei;0.0;163
62918a2118de08b2;Tom;Murphy;0.0;164
69b69c0178c4004d;Antoni;Hardonk;0.0;165
6291ac0a3726732f;Pete;Williams;0.0;166
63b65af1c5cb02cb;Ken;Shamrock;0.0;167
63def5a5662a6917;Junior;Dos Santos;0.0;168
658c3465581ae46b;Pat;Barry;0.0;169
6859f67468ba8489;Kevin;Randleman;0.0;170
68dd7b3783c19f9c;Shane;Carwin;0.0;171
8d26912cd2aeb366;Jeremy;Horn;0.0;172
