href;firstName;lastName;rank_score_Light Heavyweight;rank_Light Heavyweight
e5549c82bfb5582d;Alex;Pereira;135912.74;1
5444c5a201d3ee5a;Jamahal;Hill;88357.9;2
009341ed974bad72;Jiri;Prochazka;83311.06;3
7ff97850e8c32bda;Glover;Teixeira;61218.8;4
99df7d0a2a08a8a8;Jan;Blachowicz;41423.46;5
7acbb0972e75281a;Marvin;Vettori;6318.57;6
d802174b0c0c1f4e;Magomed;Ankalaev;4944.85;7
749f572d1d3161fb;Khalil;Rountree Jr.;4932.91;8
0d8011111be000b2;Sean;Strickland;4289.31;9
c21f26bbde777573;Johnny;Walker;3249.1;10
d4c9dcd330403612;Anthony;Smith;2689.12;11
333b9e5c723ac873;Aleksandar;Rakic;1642.68;12
1091d4d957141094;Nikita;Krylov;1427.67;13
a67f5afa8d6a1b80;Ryan;Spann;1217.15;14
e4277e87a789d687;Dustin;Jacoby;1210.37;15
e90a2f22417af68e;Azamat;Murzakanov;1192.8;16
0845c81e37d3bcb3;Volkan;Oezdemir;1052.85;17
dea070ed4a2a8281;Thiago;Santos;841.3;18
53c943c873cffe90;Philipe;Lins;822.71;19
eabf206b162b3b83;Paul;Craig;654.07;20
9014c02eff8b3d62;Carlos;Ulberg;480.64;21
50db8711c70196cd;Ovince;Saint Preux;446.48;22
cad24459b28592ca;Eryk;Anders;419.5;23
260bd4cef10b033f;Ihor;Potieria;364.02;24
a495f599e787614f;Alonzo;Menifield;336.86;25
8667caa0451d245b;Kennedy;Nzechukwu;320.24;26
0d65c432720accb9;Michal;Oleksiejczuk;295.17;27
07f72a2a7591b409;Jon;Jones;276.4;28
71171fc96445bf65;Vitor;Petrino;263.53;29
6370c1c1e12723d5;Marcin;Prachnio;184.05;30
cd13728ae1151f46;Ion;Cutelaba;177.67;31
140745cbbcb023ac;Mauricio;Rua;173.59;32
5da33b8fbfa5ee95;William;Knight;65.72;33
cc7040fe76f0ef91;Devin;Clark;58.97;34
8c57c7b8c3bab0eb;Nicolae;Negumereanu;38.36;35
74f9448b97bf8bec;Da Woon;Jung;32.37;36
476fe566d2df676e;Modestas;Bukauskas;31.98;37
70e1f8a821b72c8b;Jimmy;Crute;18.13;38
49e96ff8ab781589;Tyson;Pedro;16.37;39
4ba8d454f762005d;Zak;Cummings;15.46;40
41e83a89929d1327;Jailton;Almeida;15.04;41
2f181c0467965b98;Brendan;Allen;11.9;42
56f7d7ee06be4aab;Zac;Pauga;9.52;43
687c15b2eddfaa63;Danilo;Marques;6.76;44
6aae253467e8f9ce;Tafon;Nchukwi;6.71;45
04c8b08b16a5b99e;Tanner;Boser;5.06;46
06f36cf4bd97ec77;Ed;Herman;4.08;47
950d0ef5c17157c5;Maxim;Grishin;2.73;48
f9d0cae37dabfafc;Ike;Villanueva;1.87;49
327d5f279895110d;Roman;Dolidze;1.43;50
18b602842a24f7c5;Mike;Rodriguez;1.24;51
c878270af633eb11;Jordan;Wright;1.24;52
c2a670b22d2e196f;Aleksa;Camur;0.41;53
99bcdf5eac39898f;Jordan;Johnson;0.0;54
b0bd0c5425668b8f;Henrique;da Silva;0.0;55
af997f7611673880;Gadzhimurad;Antigulov;0.0;56
af5b208e97f5d382;Wilson;Gouveia;0.0;57
98b80a717b9bda17;Matt;Hamill;0.0;58
fcffee71cff5530e;Forrest;Griffin;0.0;59
f3388d2cf7ab3f64;Rob;MacDonald;0.0;60
ab943cd2c3c17825;Marcos;Rogerio de Lima;0.0;61
a08d909a5be6f410;Eliot;Marshall;0.0;62
a7f4d0902bb64092;James;Irvin;0.0;63
fccf811c1e8b01c7;Andrew;Sanchez;0.0;64
f59f1d3a2ff13edd;Eric;Schafer;0.0;65
f7a7f7118d4b01b6;Lyoto;Machida;0.0;66
fa315e6c77eee106;Brandon;Vera;0.0;67
b27a1fcb56a3035a;Trevin;Giles;0.0;68
fcd448a2fe1a23cc;Gian;Villante;0.0;69
a390eb8a9b2df298;Chuck;Liddell;0.0;70
a1f6999fe57236e0;Wanderlei;Silva;0.0;71
f5431394fb284bb9;James;Te Huna;0.0;72
d23ccf4a6c221284;Karlos;Vemola;0.0;73
b4c96c3d9139bf0e;Patrick;Walsh;0.0;74
c80095f6092271a7;Tim;Boetsch;0.0;75
d1528ac5675558b1;Rashad;Coulter;0.0;76
d1152823307d7e7c;Rameau Thierry;Sokoudjou;0.0;77
ce632027bf2a871b;Dalcha;Lungiambula;0.0;78
d468288756ae3982;Renato;Sobral;0.0;79
cd01f0b768a32475;Jonathan;Wilson;0.0;80
ccdd90bd1fc7dab6;Vladimir;Matyushenko;0.0;81
d897897060f10a3a;Rich;Franklin;0.0;82
92fa1401b7927da3;Jake;Collier;0.0;83
cb52f9490c2dc069;Sean;O'Connell;0.0;84
d967f0128c323de6;Daniel;Cormier;0.0;85
c6a33ff198aaaeeb;Stephan;Bonnar;0.0;86
b69f24c500d783e7;Francimar;Barroso;0.0;87
