href;firstName;lastName;rank_score_Middleweight;rank_Middleweight
0d8011111be000b2;Sean;Strickland;319925.77;1
1338e2c7480bdf9e;Israel;Adesanya;279708.88;2
e5549c82bfb5582d;Alex;Pereira;168866.08;3
13a0275fa13c4d26;Jared;Cannonier;93816.79;4
0d7b51c9d2649a6e;Dricus;Du Plessis;92809.01;5
e1147d3d2dabe1ce;Robert;Whittaker;50200.16;6
767755fd74662dbf;Khamzat;Chimaev;35531.87;7
7acbb0972e75281a;Marvin;Vettori;26604.74;8
2f181c0467965b98;Brendan;Allen;22996.31;9
b1a3e0aca758b322;Derek;Brunson;15184.67;10
327d5f279895110d;Roman;Dolidze;14057.69;11
eabf206b162b3b83;Paul;Craig;8273.23;12
886264a0c9f4ea5e;Andre;Muniz;7456.22;13
0a1942069c9ad6b6;Jack;Hermansson;6063.58;14
0c6d9ea8306c029e;Brad;Tavares;4104.96;15
06734ca9d88dec3a;Shara;Magomedov;3433.28;16
12ebd7d157e91701;Bruno;Silva;3427.67;17
881bf86d4cba8578;Nassourdine;Imavov;2986.36;18
8c0580d4fff106c1;Kelvin;Gastelum;2771.0;19
65578a75fa7900e3;Uriah;Hall;2381.67;20
3a46b268013afede;Kevin;Holland;1918.19;21
285ae0b4a68221f4;JunYong;Park;1403.71;22
3a8176e15b9887c1;Chris;Weidman;1111.86;23
8e9eb3fc86db0f7d;Marc-Andre;Barriault;1097.04;24
5442f1bc4b47eaf3;Chris;Curtis;1067.41;25
4e06913c91da5200;Krzysztof;Jotko;974.17;26
595db60957de51d3;Michel;Pereira;790.28;27
5f61780fe5e9b6d0;Andre;Petroski;758.84;28
4126a78111c0855a;Caio;Borralho;502.72;29
d1c65d2cf2925ddd;Gregory;Rodrigues;499.01;30
093e1f5bb73850be;Anthony;Hernandez;431.41;31
c1085e1701b13eca;Joe;Pyfer;412.1;32
a93f94c923c3a9cb;Christian Leroy;Duncan;362.47;33
4dcfb28c011c11b2;Wellington;Turman;359.06;34
cad24459b28592ca;Eryk;Anders;354.83;35
9d83f6da776ff7d6;Roman;Kopylov;351.87;36
0112352cb32f5026;Denis;Tiuliulin;329.61;37
16690d100f995f8f;Omari;Akhmedov;327.15;38
35673bf5204524ee;Bo;Nickal;316.99;39
ca43de99b07b6b40;Josh;Fremd;276.73;40
b07aed698fba8624;Ikram;Aliskerov;270.09;41
ea7e5bc78d9de658;Makhmud;Muradov;267.19;42
830f60497fab345a;Jamie;Pickett;233.76;43
