href;firstName;lastName;rank_score_Women's Strawweight;rank_Women's Strawweight
1ebe20ebbfa15e29;Zhang;Weili;2417.62;1
d910665038efc639;Carla;Esparza;1460.78;2
47b63240018d5d86;Rose;Namajunas;878.29;3
c41d426cc7326d1b;Yan;Xiaonan;625.88;4
3df5493bb279226f;Amanda;Lemos;537.86;5
7dda2cf308f24a02;Virna;Jandiroba;453.32;6
b08012bbe542592a;Tatiana;Suarez;378.97;7
8e5d953bdb9ae5e7;Loopy;Godinez;280.03;8
6a1901c62ab3870f;Jessica;Andrade;274.84;9
cd2c4d30c6e13b47;Marina;Rodriguez;274.4;10
7447e9f28508106a;Mackenzie;Dern;192.0;11
d25240135aee03e5;Tabatha;Ricci;180.55;12
beecb672a279223e;Amanda;Ribas;82.03;13
d7c3816669784109;Karolina;Kowalkiewicz;69.28;14
f0feeb2192937424;Angela;Hill;56.16;15
2c483cf443f38ece;Vanessa;Demopoulos;49.7;16
abcf2cc6efc42031;Iasmin;Lucindo;42.46;17
9673a497a9da119a;Polyana;Viana;32.86;18
31ef8b67e13495b3;Tecia;Torres;31.97;19
a3a542074109b347;Luana;Pinheiro;31.84;20
3351aa64aa83c4d9;Cory;McKenna;28.94;21
38c7f72747f4f712;Gillian;Robertson;28.85;22
ac7c765882f2c68c;Elise;Reed;28.31;23
02f8fedc18cbd26c;Emily;Ducote;24.6;24
e375cb5caf4717b6;Piera;Rodriguez;23.32;25
4e30e4250cb08b61;Loma;Lookboonmee;22.95;26
6c9b66b43663f2f7;Viktoriia;Dudakova;20.75;27
cffb87059e645bd1;Denise;Gomes;18.3;28
e94085e821bd81de;Sam;Hughes;16.17;29
d7e40dca3ae125be;Diana;Belbita;14.5;30
4959f10a62f3fec3;Cheyanne;Vlismas;12.49;31
4a57ebb14315b251;Randa;Markos;11.7;32
e0b0cf71e0d69dd0;Kanako;Murata;11.45;33
d05cb1e8d1b885d8;Jinh Yu;Frey;11.11;34
eb04b9d31e938edb;Michelle;Waterson-Gomez;10.05;35
c742287ed86a09bc;Jessica;Penne;9.85;36
40cb680ae1cd331f;Yazmin;Jauregui;8.15;37
37d752ec41ed84bb;Maria;Oliveira;7.48;38
bc7d1ad49fcb2d08;Jaqueline;Amorim;7.07;39
de594b35c45c2e9a;Eduarda;Moura;6.78;40
ec34349e7dffcde7;Claudia;Gadelha;6.67;41
5dd180c8b3196786;Gloria;de Paula;5.58;42
c0d5c0c95c59050b;Ariane;Carnelossi;5.33;43
b4880ef2f838d4e1;Silvana;Gomez Juarez;4.25;44
971dba22c622af12;Josefine;Knutsson;4.0;45
7138a15258dabf20;Bruna;Brasil;4.0;46
dab8cfbb6b1db10a;Livinha;Souza;3.44;47
19b7738321cfae42;Mallory;Martin;3.3;48
b4c6c904a9ffc5e8;Ashley;Yoder;2.37;49
1235b31de15d0c6e;Montserrat Conejo;Ruiz;1.71;50
4100c7a09497ad41;Kay;Hansen;1.0;51
d50382dc0565a9e1;Viviane;Pereira;0.0;52
12f91bfa8f1f723b;Joanne;Wood;0.0;53
d4a31850a7457f1b;Amanda;Cooper;0.0;54
d343df8ba11f4c4e;Nina;Nunes;0.0;55
165c244bcca3ed26;Seo Hee;Ham;0.0;56
dd4c16777fb2ccf9;Heather;Clark;0.0;57
e50cd77732d39967;Aisling;Daly;0.0;58
e76d9f656ceb82ab;Aleksandra;Albu;0.0;59
e8b731feff72294b;Alexa;Grasso;0.0;60
46a2f24feb258ae0;Valerie;Letourneau;0.0;61
2244d9a2b64b8c3b;Hannah;Cifers;0.0;62
26b63bc5c0c1f65d;Alex;Chambers;0.0;63
4d5197f331c47290;Paige;VanZant;0.0;64
5c126c6aac3ef364;Poliana;Botelho;0.0;65
5f179af5fffeb9f6;Cortney;Casey;0.0;66
6a740daf1b279661;Maycee;Barber;0.0;67
6e7506127408aa9e;Nadia;Kassem;0.0;68
6fd953151d981979;JJ;Aldrich;0.0;69
3d6749c4267da18f;Joanna;Jedrzejczyk;0.0;70
75a6a390fd5dca46;Juliana;Lima;0.0;71
882d62561063a927;Jamie;Moyle;0.0;72
8f382b3baa954d2a;Jessica;Aguilar;0.0;73
907e60fd13407e1e;Bec;Rawlings;0.0;74
928ae2e5b5f7a9ec;Justine;Kish;0.0;75
05b43e0ead3df345;Kailin;Curran;0.0;76
98215d037be5bcb7;Cynthia;Calvillo;0.0;77
a851c35f58199231;Syuri;Kondo;0.0;78
b3d21b2610dcfaeb;Emily;Whitmire;0.0;79
b53c46f613f6f248;Brianna;Fortino;0.0;80
b6850671a008bf9a;Felice;Herrig;0.0;81
b76c6268dc1d3c05;Danielle;Taylor;0.0;82
b4192a975027aab6;Maryna;Moroz;0.0;83
